name,category,start,end,cost,mid,year,display_name
Hurricane Harvey,tropical-cyclone,2017-08-27,2017-08-27,125,2017-08-27,2017,Hurricane Harvey
Hurricane Katrina,tropical-cyclone,2005-08-25,2005-08-30,160,2005-08-27,2005,Hurricane Katrina
Hurricane Sandy,tropical-cyclone,2012-10-30,2012-10-31,70.2,2012-10-30,2012,Hurricane Sandy
Hurricane Andrew,tropical-cyclone,1992-08-23,1992-08-27,47.8,1992-08-25,1992,Hurricane Andrew
U.S. Drought/ Heatwave,drought-wildfire,1988-06-01,1988-08-31,42.4,1988-07-16,1988,U.S. Drought/Heatwave
Midwest Flooding,flooding,1993-06-27,1993-08-15,36.1,1993-07-21,1993,Midwest Flooding
Hurricane Ike,tropical-cyclone,2008-09-12,2008-09-14,34.8,2008-09-13,2008,Hurricane Ike
U.S. Drought/ Heatwave,drought-wildfire,2012-01-01,2012-12-31,32.4,2012-07-01,2012,U.S. Drought/Heatwave
Central/ Eastern Drought/ Heatwave,drought-wildfire,1980-06-01,1980-11-30,31.6,1980-08-31,1980,Central/Eastern Drought/Heatwave
Hurricane Ivan,tropical-cyclone,2004-09-12,2004-09-21,27.1,2004-09-16,2004,Hurricane Ivan
Hurricane Wilma,tropical-cyclone,2005-10-24,2005-10-24,24.3,2005-10-24,2005,Hurricane Wilma
Hurricane Rita,tropical-cyclone,2005-09-20,2005-09-24,23.7,2005-09-22,2005,Hurricane Rita
Hurricane Charley,tropical-cyclone,2004-08-13,2004-08-14,21.1,2004-08-13,2004,Hurricane Charley
Hurricane Hugo,tropical-cyclone,1989-09-21,1989-09-22,18.2,1989-09-21,1989,Hurricane Hugo
Hurricane Irene,tropical-cyclone,2011-08-26,2011-08-28,15,2011-08-27,2011,Hurricane Irene
Southern Plains/ Southwest Drought & Heat Wave,drought-wildfire,2011-03-01,2011-08-31,13.3,2011-05-31,2011,Southern Plains/Southwest Drought & Heat Wave
Hurricane Frances,tropical-cyclone,2004-09-03,2004-09-09,12.9,2004-09-06,2004,Hurricane Frances
U.S. Drought,drought-wildfire,2002-03-01,2002-11-30,12.4,2002-07-16,2002,U.S. Drought
Tropical Storm Allison,tropical-cyclone,2001-06-05,2001-06-17,11.9,2001-06-11,2001,Tropical Storm Allison
Midwest Flooding,flooding,2008-04-01,2008-06-30,11.6,2008-05-16,2008,Midwest Flooding
Southeast/ Ohio Valley/ Midwest Tornadoes,severe-storm,2011-04-25,2011-04-28,11.3,2011-04-26,2011,Southeast/Ohio Valley/Midwest Tornadoes
Western/ Plains Drought/ Heatwave,drought-wildfire,2013-03-01,2013-11-30,11.1,2013-07-16,2013,Western/Plains Drought/Heatwave
Louisiana Flooding,flooding,2016-08-12,2016-08-15,10.3,2016-08-13,2016,Louisiana Flooding
Hurricane Matthew,tropical-cyclone,2016-10-08,2016-10-12,10.3,2016-10-10,2016,Hurricane Matthew
Midwest/ Southeast Tornadoes,severe-storm,2011-05-22,2011-05-27,10.1,2011-05-24,2011,Midwest/Southeast Tornadoes
Hurricane Jeanne,tropical-cyclone,2004-09-15,2004-09-29,9.9,2004-09-22,2004,Hurricane Jeanne
Hurricane Floyd,tropical-cyclone,1999-09-14,1999-09-16,9.7,1999-09-15,1999,Hurricane Floyd
East Coast Blizzard and Severe Weather,winter-storm-freeze,1993-03-11,1993-03-14,9.5,1993-03-12,1993,East Coast Blizzard and Severe Weather
Hurricane Georges,tropical-cyclone,1998-09-20,1998-09-29,9.1,1998-09-24,1998,Hurricane Georges
South Plains Severe Weather,severe-storm,1995-05-05,1995-05-07,8.9,1995-05-06,1995,South Plains Severe Weather
U.S. Drought,drought-wildfire,2008-01-01,2008-12-31,8.1,2008-07-01,2008,U.S. Drought
Hurricane Fran,tropical-cyclone,1996-09-05,1996-09-08,8,1996-09-06,1996,Hurricane Fran
Hurricane Opal,tropical-cyclone,1995-10-04,1995-10-06,7.6,1995-10-05,1995,Hurricane Opal
Hurricane Alicia,tropical-cyclone,1983-08-17,1983-08-20,7.5,1983-08-18,1983,Hurricane Alicia
Southeast Drought,drought-wildfire,1983-06-01,1983-08-31,7.4,1983-07-16,1983,Southeast Drought
Midwest/ Plains/ Southeast Drought,drought-wildfire,2006-03-01,2006-08-31,7.4,2006-05-31,2006,Midwest/Plains/Southeast Drought
Hurricane Isabel,tropical-cyclone,2003-09-18,2003-09-19,7.4,2003-09-18,2003,Hurricane Isabel
Western/ Central/ Southeast Drought/ Heatwave,drought-wildfire,2000-03-01,2000-11-30,7.2,2000-07-16,2000,Western/Central/Southeast Drought/Heatwave
Hurricane Gustav,tropical-cyclone,2008-08-31,2008-09-03,7,2008-09-01,2008,Hurricane Gustav
Western/ Central Drought/ Heatwave,drought-wildfire,2003-03-01,2003-11-30,6.7,2003-07-16,2003,Western/Central Drought/Heatwave
California Freeze,winter-storm-freeze,1990-12-18,1990-12-25,6.5,1990-12-21,1990,California Freeze
Northern Plains Drought,drought-wildfire,1989-06-01,1989-11-30,6.1,1989-08-31,1989,Northern Plains Drought
Oakland Firestorm,drought-wildfire,1991-10-01,1991-10-31,6,1991-10-16,1991,Oakland Firestorm
Northern Plains Flooding,flooding,1997-02-03,1997-05-24,5.7,1997-03-30,1997,Northern Plains Flooding
Severe Storms/ Tornadoes,severe-storm,2003-05-03,2003-05-10,5.6,2003-05-06,2003,Severe Storms/Tornadoes
U.S. Drought,drought-wildfire,1991-03-01,1991-08-31,5.5,1991-05-31,1991,U.S. Drought
Hurricane Iniki,tropical-cyclone,1992-09-11,1992-09-12,5.5,1992-09-11,1992,Hurricane Iniki
Southern Drought/ Heat Wave,drought-wildfire,1998-06-01,1998-08-31,5.4,1998-07-16,1998,Southern Drought/Heat Wave
California Wildfires,drought-wildfire,2003-09-01,2003-11-30,5.3,2003-10-16,2003,California Wildfires
Southeast Ice Storm,winter-storm-freeze,1994-02-08,1994-02-13,5,1994-02-10,1994,Southeast Ice Storm
"Freeze, Cold Wave",winter-storm-freeze,1983-12-15,1983-12-25,5,1983-12-20,1983,"Freeze, Cold Wave"
Blizzard/ Floods,winter-storm-freeze,1996-01-01,1996-01-31,4.8,1996-01-16,1996,Blizzard/Floods
Western Drought,drought-wildfire,2015-01-01,2015-12-31,4.7,2015-07-02,2015,Western Drought
West Coast Flooding,flooding,1997-01-01,1997-01-11,4.6,1997-01-06,1997,West Coast Flooding
Northeast Winter Storm,winter-storm-freeze,1992-12-10,1992-12-13,4.4,1992-12-11,1992,Northeast Winter Storm
Western/ Eastern Drought/ Heatwave,drought-wildfire,2007-06-01,2007-11-30,4.3,2007-08-31,2007,Western/Eastern Drought/Heatwave
Midwest/ Ohio Valley Hail and Tornadoes,severe-storm,2001-04-06,2001-04-11,4.3,2001-04-08,2001,Midwest/Ohio Valley Hail and Tornadoes
Arizona Severe Weather,severe-storm,2010-10-05,2010-10-06,4.3,2010-10-05,2010,Arizona Severe Weather
Western Drought,drought-wildfire,2014-01-01,2014-12-31,4.2,2014-07-02,2014,Western Drought
Southwest/ Great Plains Drought,drought-wildfire,2009-01-01,2009-12-31,4.1,2009-07-02,2009,Southwest/Great Plains Drought
California Flooding,flooding,1995-01-01,1995-03-31,4.1,1995-02-14,1995,California Flooding
Southeast Drought/ Heatwave,drought-wildfire,1986-06-01,1986-08-31,4,1986-07-16,1986,Southeast Drought/Heatwave
Florida Freeze,winter-storm-freeze,1989-12-23,1989-12-25,4,1989-12-24,1989,Florida Freeze
Rockies/ Midwest/ Eastern Severe Weather,severe-storm,2014-05-18,2014-05-23,3.9,2014-05-20,2014,Rockies/Midwest/Eastern Severe Weather
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather",severe-storm,2010-05-10,2010-05-12,3.8,2010-05-11,2010,"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather"
Gulf States Storms and Flooding,flooding,1982-12-01,1983-01-15,3.8,1982-12-23,1982,Gulf States Storms and Flooding
California Freeze,winter-storm-freeze,1998-12-20,1998-12-28,3.8,1998-12-24,1998,California Freeze
Western Storms & Flooding,flooding,1982-12-13,1983-03-31,3.7,1983-02-05,1983,Western Storms & Flooding
Eastern Drought/ Heatwave,drought-wildfire,1999-06-01,1999-08-31,3.7,1999-07-16,1999,Eastern Drought/Heatwave
West/ Northeast/ Southeast Drought,drought-wildfire,2016-01-01,2016-12-31,3.6,2016-07-01,2016,West/Northeast/Southeast Drought
North/ Central Texas Hail Storm,severe-storm,2016-04-10,2016-04-12,3.6,2016-04-11,2016,North/Central Texas Hail Storm
