id,stateabb,ccode,leader,s_date,s_month,start_year,e_month,end_year,birthyear,gender,military_career,start_age,end_age,duration,country,oecd,gdp,eu27,gseven,gtwenty,brics,label,pcgdp
1,GUY,110,Mohamed Irfaan Ali,2,8,2020,1,2021,1980,Male,0,40,41,1,Guyana,0,4.191225052,0,0,0,0,0,8648.545898
2,QAT,694,Khalifah Al Thani,26,6,2013,1,2021,1980,Male,0,33,41,8,Qatar,0,NA,0,0,0,0,0,NA
3,AND,232,Espot Zamora,16,5,2019,1,2021,1979,Male,0,40,42,2,Andorra,0,NA,0,0,0,0,0,NA
4,YEM,679,Houthi,6,2,2015,1,2021,1979,Male,1,36,42,6,Yemen,0,19.52376938,0,0,0,0,0,NA
5,UKR,369,Zelensky,20,5,2019,1,2021,1978,Male,0,41,43,2,Ukraine,0,139.1454468,0,0,0,0,0,3592.169922
6,MLT,338,Abela,13,1,2020,1,2021,1977,Male,0,43,44,1,Malta,0,14.8592577,1,0,0,0,0,NA
7,ETH,530,Abiy Ahmed,2,4,2018,1,2021,1976,Male,1,42,45,3,Ethiopia,0,64.85749054,0,0,0,0,0,NA
8,ARM,371,Pashinyan,8,5,2018,1,2021,1975,Male,0,43,46,3,Armenia,0,14.10398102,0,0,0,0,0,NA
9,MAC,343,Zaev,19,8,2020,1,2021,1974,Male,0,46,47,1,Macedonia,0,,0,0,0,0,0,6018.781738
10,JAM,51,Holness,3,3,2016,1,2021,1972,Male,0,44,49,5,Jamaica,0,14.71058464,0,0,0,0,0,4986.450195
11,DMA,54,Roosevelt Skerrit,8,1,2004,1,2021,1972,Male,0,32,49,17,Dominica,0,0.526516557,0,0,0,0,0,NA
12,GNB,404,Embalo,27,2,2020,1,2021,1972,Male,1,48,49,1,Guinea-Bissau,0,1.272050381,0,0,0,0,0,NA
13,PNG,910,James Marape,30,5,2019,1,2021,1971,Male,0,48,50,2,Papua New Guinea,0,21.23073387,0,0,0,0,0,NA
14,DOM,42,Luis Abinader,16,8,2020,1,2021,1967,Male,0,53,54,1,Dominican Republic,0,91.04623413,0,0,0,0,0,7444.796387
15,IRQ,645,Al-Kadhimi,7,5,2020,1,2021,1967,Male,0,53,54,1,Iraq,0,219.1729431,0,0,0,0,0,NA
16,LBR,450,Weah,22,1,2018,1,2021,1966,Male,0,52,55,3,Liberia,0,1.729123473,0,0,0,0,0,NA
17,SYR,652,Bashar al-Assad,11,6,2000,1,2021,1965,Male,0,35,56,21,Syria,0,,0,0,0,0,0,1202.890015
18,ALB,339,Rama,15,9,2013,1,2021,1964,Male,0,49,57,8,Albania,0,15.58189106,0,0,0,0,0,4415.600098
19,FSM,987,Panuelo,11,5,2019,1,2021,1964,Male,0,55,57,2,Federated States of Micronesia,0,,0,0,0,0,0,NA
20,BOL,145,Arce,8,11,2020,1,2021,1963,Male,0,57,58,1,Bolivia,0,,0,0,0,0,0,3321.917236
21,VEN,101,Nicolas Maduro,5,3,2013,1,2021,1962,Male,0,51,59,8,Venezuela,0,,0,0,0,0,0,7869.439941
22,JOR,663,Abdullah Ibn Hussein El-Hashimi,7,2,1999,1,2021,1962,Male,0,37,59,22,Jordan,0,33.42028809,0,0,0,0,0,NA
23,AZE,373,Ilhma Aliyev,15,10,2003,1,2021,1961,Male,0,42,60,18,Azerbaijan,0,61.52862549,0,0,0,0,0,1135.168213
24,SEN,433,Macky Sall,2,4,2012,1,2021,1961,Male,0,51,60,9,Senegal,0,27.87350273,0,0,0,0,0,1301.540039
25,KEN,501,Kenyatta,9,4,2013,1,2021,1961,Male,0,52,60,8,Kenya,0,69.1111145,0,0,0,0,0,1318.789917
26,TON,955,Tu'I'onetoa,8,10,2019,1,2021,1961,Male,0,58,60,2,Tonga,0,0.448402256,0,0,0,0,0,NA
27,KIR,946,Mamau,11,3,2016,1,2021,1960,Male,0,56,61,5,Kiribati,0,NA,0,0,0,0,0,NA
28,SUR,115,Santokhi,16,7,2020,1,2021,1959,Male,0,61,62,1,Suriname,0,4.823753834,0,0,0,0,0,4199.154785
29,ARG,160,Fernandez,10,12,2019,1,2021,1959,Male,0,60,62,2,Argentina,0,456.1006165,0,0,1,0,0,9887.790039
30,GAB,481,Ondimba,16,10,2009,1,2021,1959,Male,0,50,62,12,Gabon,0,20.6892643,0,0,0,0,0,7856.850098
31,COM,581,Assoumani,26,5,2019,1,2021,1959,Male,1,60,62,2,Comoros,0,NA,0,0,0,0,0,1349.790039
32,MNG,341,Zdravko Krivokapic,4,12,2020,1,2021,1958,Male,0,62,63,1,Montenegro,0,NA,0,0,0,0,0,7933.433105
33,SLV,349,Jansa,13,3,2020,1,2021,1958,Male,0,62,63,1,Slovenia,1,59.13618469,1,0,0,0,0,NA
34,BEN,434,Talon,5,4,2016,1,2021,1958,Male,0,58,63,5,Benin,0,11.62133789,0,0,0,0,0,1086.969971
35,TUN,616,Saied,23,10,2019,1,2021,1958,Male,0,61,63,2,Tunisia,0,53.6297226,0,0,0,0,0,3287.090088
36,RWA,517,Paul Kagame,19,7,1994,1,2021,1957,Male,1,37,64,27,Rwanda,0,11.5992918,0,0,0,0,0,NA
37,TKM,701,Berdymukhammedov,21,12,2006,1,2021,1957,Male,0,49,64,15,Turkmenistan,0,50.31721115,0,0,0,0,0,NA
38,UZB,704,Shavkat Mirziyoyev,8,9,2016,1,2021,1957,Male,0,59,64,5,Uzbekistan,0,76.84449005,0,0,0,0,0,2575.52002
39,BRA,140,Bolsonaro,1,1,2019,1,2021,1955,Male,1,64,66,2,Brazil,0,2379.456543,0,0,1,1,0,NA
40,BLR,370,Lukashenko,20,7,1994,1,2021,1954,Male,1,40,67,27,Belarus,0,65.75815582,0,0,0,0,0,1481.459961
41,EGY,651,al-Sisi,8,6,2014,1,2021,1954,Male,1,60,67,7,Egypt,0,311.9263306,0,0,0,0,0,3524.420166
42,PAN,95,Laurentino Cortizo,1,7,2019,1,2021,1953,Male,0,66,68,2,Panama,0,53.50344849,0,0,0,0,0,16245.4502
43,ECU,130,Lenin Moreno,24,5,2017,1,2021,1953,Male,0,64,68,4,Ecuador,0,88.64363861,0,0,0,0,0,6216.609863
44,CHN,710,Xi Jinping,15,11,2012,1,2021,1953,Male,0,59,68,9,China,0,12214.875,0,0,1,1,0,NA
45,RUS,365,Putin,1,1,2000,1,2021,1952,Male,0,48,69,21,Russia,0,1782.059692,0,0,1,1,1,1903.589966
46,PAK,770,Imran Khan,18,8,2018,1,2021,1952,Male,0,66,69,3,Pakistan,0,267.4912415,0,0,0,0,0,1565.429932
47,SSD,626,Kiir,9,7,2011,1,2021,1951,Male,1,60,70,10,South Sudan,0,NA,0,0,0,0,0,NA
48,MLI,432,Ba N'Daou,25,9,2020,1,2021,1950,Male,1,70,71,1,Mali,0,16.25198174,0,0,0,0,0,899.2230225
49,IND,750,Narendra Modi,26,5,2014,1,2021,1950,Male,0,64,71,7,India,0,3228.86377,0,0,1,1,0,1610.360107
50,AFG,700,Ashraf Ghani,29,9,2014,1,2021,1949,Male,0,65,72,7,Afghanistan,0,22.03043365,0,0,0,0,0,629.3319702
51,IRN,630,Rouhani,3,8,2013,1,2021,1948,Male,0,65,73,8,Iran,0,,0,0,0,0,0,5152.039551
52,DJI,522,Guelleh,8,5,1999,1,2021,1947,Male,0,52,74,22,Djibouti,0,2.066146135,0,0,0,0,0,1222.450073
53,CYP,352,Nikos Anastasiadis,28,2,2013,1,2021,1946,Male,0,67,75,8,Cyprus,0,28.27654457,1,0,0,0,0,27825.18164
54,ERI,531,Afeworki,24,5,1993,1,2021,1946,Male,0,47,75,28,Eritrea,0,3.215140581,0,0,0,0,0,NA
55,NIC,93,Daniel Ortega,10,1,2007,1,2021,1945,Male,0,62,76,14,Nicaragua,0,11.4362793,0,0,0,0,0,NA
56,LIE,223,Hans-Adam II,13,11,1989,1,2021,1945,Male,0,44,76,32,Liechtenstein,0,NA,0,0,0,0,0,NA
57,WSM,990,Tuilaepa Sailele Malielegaoi,23,12,1998,1,2021,1945,Male,0,53,76,23,Samoa,0,0.820523143,0,0,0,0,0,NA
58,PER,135,Francisco Sagasti,17,11,2020,1,2021,1944,Male,0,76,77,1,Peru,0,222.4911194,0,0,0,0,0,5844.691895
59,GHA,452,Akufo-Addo,7,1,2017,1,2021,1944,Male,0,73,77,4,Ghana,0,60.47307587,0,0,0,0,0,NA
60,UGA,500,Museveni,29,1,1986,1,2021,1944,Male,0,42,77,35,Uganda,0,31.74250031,0,0,0,0,0,NA
61,STP,403,Carvalho,3,9,2016,1,2021,1942,Male,0,74,79,5,Sao Tome and Principe,0,0.300221413,0,0,0,0,0,NA
62,NAM,565,Geingob,21,3,2015,1,2021,1941,Male,0,74,80,6,Namibia,0,15.1570816,0,0,0,0,0,NA
63,LAO,812,Vorachit,18,4,2016,1,2021,1938,Male,1,78,83,5,Laos,0,,0,0,0,0,0,2308.802734
64,SAU,670,Salman,23,1,2015,1,2021,1935,Male,0,80,86,6,Saudi Arabia,0,726.8984375,0,0,1,0,0,NA
65,IRQ,645,Faisal II,2,5,1953,7,1958,1935,Male,0,18,23,5,Iraq,0,219.1729431,0,0,0,0,0,NA
66,DOM,42,Rafael Trujillo (son),30,5,1961,11,1961,1929,Male,1,32,32,0,Dominican Republic,0,91.04623413,0,0,0,0,0,NA
67,ALB,339,Majko,2,10,1998,10,1999,1967,Male,0,31,32,1,Albania,0,15.58189106,0,0,0,0,0,NA
68,GHA,452,Rawlings,5,6,1979,9,1979,1947,Male,1,32,32,0,Ghana,0,60.47307587,0,0,0,0,0,NA
69,IRN,630,Mohammad Reza,16,9,1941,4,1951,1919,Male,0,22,32,10,Iran,0,,0,0,0,0,0,NA
70,EGY,651,Farouk,28,4,1936,7,1952,1920,Male,0,16,32,16,Egypt,0,311.9263306,0,0,0,0,0,NA
71,ALB,339,Meta,29,10,1999,2,2002,1969,Male,0,30,33,3,Albania,0,15.58189106,0,0,0,0,0,NA
72,GHA,452,Afrifa,3,4,1969,9,1969,1936,Male,1,33,33,0,Ghana,0,60.47307587,0,0,0,0,0,NA
73,ALB,339,Majko,22,2,2002,7,2002,1967,Male,0,35,35,0,Albania,0,15.58189106,0,0,0,0,0,NA
74,AZE,373,Gambarov,19,5,1992,6,1992,1957,Male,0,35,35,0,Azerbaijan,0,61.52862549,0,0,0,0,0,159.9710083
75,MNG,341,Luksic,29,12,2010,12,2012,1976,Male,0,34,36,2,Montenegro,0,NA,0,0,0,0,0,NA
76,MAC,343,Crvenkovski,17,8,1992,11,1998,1962,Male,0,30,36,6,Macedonia,0,,0,0,0,0,0,NA
77,MAC,343,Georgievski,30,11,1998,11,2002,1966,Male,0,32,36,4,Macedonia,0,,0,0,0,0,0,1888.759888
78,DMA,54,Oliver Seraphin,25,6,1979,7,1980,1943,Male,0,36,37,1,Dominica,0,0.526516557,0,0,0,0,0,NA
79,MLI,432,Assimi Goita,19,8,2020,9,2020,1983,Male,1,37,37,0,Mali,0,16.25198174,0,0,0,0,0,899.2230225
80,COM,581,Hamada Madi,22,1,2002,5,2002,1965,Male,0,37,37,0,Comoros,0,NA,0,0,0,0,0,757.3989868
81,SYR,652,"Atassi, L.",9,3,1963,7,1963,1926,Male,1,37,37,0,Syria,0,,0,0,0,0,0,NA
82,JOR,663,Abdullah El-Hashim,20,7,1951,9,1951,1914,Male,0,37,37,0,Jordan,0,33.42028809,0,0,0,0,0,NA
83,PNG,910,Wingti,21,11,1985,7,1988,1951,Male,0,34,37,3,Papua New Guinea,0,21.23073387,0,0,0,0,0,NA
84,BOL,145,Siles Zuazo,11,4,1952,4,1952,1914,Male,0,38,38,0,Bolivia,0,,0,0,0,0,0,NA
85,MAC,343,Dimitriev,18,1,2016,5,2017,1979,Male,0,37,38,1,Macedonia,0,,0,0,0,0,0,5152.970215
86,BEN,434,Alley,17,12,1967,8,1968,1930,Male,1,37,38,1,Benin,0,11.62133789,0,0,0,0,0,NA
87,SYR,652,Al-Khatib,18,11,1970,2,1971,1933,Male,0,37,38,1,Syria,0,,0,0,0,0,0,NA
88,CYP,352,Sampson,16,7,1974,7,1974,1935,Male,0,39,39,0,Cyprus,0,28.27654457,1,0,0,0,0,NA
89,LBR,450,Doe,12,4,1980,9,1990,1951,Male,1,29,39,10,Liberia,0,1.729123473,0,0,0,0,0,NA
90,JAM,51,Holness,23,10,2011,1,2012,1972,Male,0,39,40,1,Jamaica,0,14.71058464,0,0,0,0,0,5232.299805
91,AND,232,Agras,28,4,2011,5,2011,1971,Male,0,40,40,0,Andorra,0,NA,0,0,0,0,0,NA
92,STP,403,Pereira,16,7,2003,7,2003,1963,Male,1,40,40,0,Sao Tome and Principe,0,0.300221413,0,0,0,0,0,NA
93,MLI,432,Sanogo,22,3,2012,4,2012,1972,Male,1,40,40,0,Mali,0,16.25198174,0,0,0,0,0,NA
94,BEN,434,Paul-Emile de Souza,13,12,1969,5,1970,1930,Male,1,39,40,1,Benin,0,11.62133789,0,0,0,0,0,NA
95,IRQ,645,Abdul-Ilah,4,4,1939,5,1953,1913,Male,0,26,40,14,Iraq,0,219.1729431,0,0,0,0,0,NA
96,LAO,812,Nosavan,31,12,1959,1,1960,1920,Male,1,39,40,1,Laos,0,,0,0,0,0,0,NA
97,DMA,54,Patrick John,3,11,1978,6,1979,1938,Male,0,40,41,1,Dominica,0,0.526516557,0,0,0,0,0,NA
98,NIC,93,Luis Somoza Debayle,29,9,1956,5,1963,1922,Male,0,34,41,7,Nicaragua,0,11.4362793,0,0,0,0,0,NA
99,VEN,101,Delgado Chalbaud,24,11,1948,11,1950,1909,Male,1,39,41,2,Venezuela,0,,0,0,0,0,0,NA
100,ECU,130,Roldos Aquilers,10,8,1979,5,1981,1940,Male,0,39,41,2,Ecuador,0,88.64363861,0,0,0,0,0,1706.266724
101,PER,135,Garcia Perez,28,7,1985,7,1990,1949,Male,0,36,41,5,Peru,0,222.4911194,0,0,0,0,0,1079.40332
102,COM,581,Soilih,3,8,1975,5,1978,1937,Male,0,38,41,3,Comoros,0,NA,0,0,0,0,0,NA
103,SYR,652,"El-Atassi, N.",25,2,1966,11,1970,1929,Male,0,37,41,4,Syria,0,,0,0,0,0,0,NA
104,AFG,700,Mohammad Musa Shafiq,12,12,1972,7,1973,1932,Male,0,40,41,1,Afghanistan,0,22.03043365,0,0,0,0,0,NA
